"Code","M0","beta","r","Species","Date","Treatment","Location","Taxa","Pot","Height","Diameter","Comment","d2h","Range","TotMass","leafArea","Time"
"ATER-30",0.000100000000000071,0.549477425278465,0.16368602295377,"TER",2014-11-17,"Warmed","S","ATER",30,21.2,2.32,"",1.1410688,"wide",1.07919979510564,229.155808348566,17
"ATER-31",0.000100000000000002,0.708156116404303,0.160252562151431,"TER",2014-11-17,"Warmed","S","ATER",31,13.7,1.59,"dead",0.3463497,"wide",0.403227840288828,107.310092648696,17
"ATER-4",0.0793626429843292,0.749044358581492,0.124714271299153,"TER",2014-11-17,"Home","S","ATER",4,21.4,2.31,"",1.1419254,"wide",1.07986870623834,166.349798373757,17
"ATER-5",0.0231409364560646,0.81690549196819,0.116672527785696,"TER",2014-11-17,"Home","S","ATER",5,13.7,1.67,"",0.3820793,"wide",0.437278175099572,76.0165065086005,17
"ATER-6",0.0111445444529621,0.809665659686921,0.106894658117578,"TER",2014-11-17,"Home","S","ATER",6,12.2,1.16,"",0.1641632,"wide",0.217681933381251,41.5412821611992,17
"ATER-7",0.386247050254943,0.941886794314317,0.0777792870613963,"TER",2014-11-17,"Home","S","ATER",7,25.2,2.24,"",1.2644352,"wide",1.17467040270367,178.928976340224,17
"ATER-8",0.00924894619989512,0.825905847479445,0.113222752835164,"TER",2014-11-17,"Home","S","ATER",8,12.7,1.3,"",0.21463,"wide",0.271611004902374,50.3212471483336,17
"ATER-9",0.0702268144553601,0.898350391905162,0.0959088263227024,"TER",2014-11-17,"Home","S","ATER",9,16.6,1.55,"",0.398815,"wide",0.453034099365098,78.3836285694951,17
"BCAM-1",0.000209391507040447,0.653865283889977,0.124374475687078,"CAM",2014-11-17,"Home","S","BCAM",1,27.1,2.07,"",1.1612079,"wide",0.568730905473632,47.7453692069575,17
"BCAM-10",0.146241738132759,0.821507685796498,0.102485260657696,"CAM",2014-11-17,"Home","S","BCAM",10,32.3,2.45,"",1.9388075,"wide",0.868421928411162,70.4389766419753,17
"BCAM-12",0.102537495361866,0.849773285855718,0.103765345586273,"CAM",2014-11-17,"Home","S","BCAM",12,33.8,2.31,"",1.8036018,"wide",0.818103677496075,66.6803256875185,17
"BCAM-2",0.0452888111667004,0.737201647726375,0.117456970176624,"CAM",2014-11-17,"Home","S","BCAM",2,31.7,2.34,"",1.7357652,"wide",0.792611734022658,64.7690253453384,17
"BCAM-21",0.0443966387531148,0.694388394284778,0.155520199775491,"CAM",2014-11-17,"Warmed","S","BCAM",21,38.4,3.08,"",3.6427776,"wide",1.46181256514483,177.796777246276,17
"BCAM-22",0.000100000000000002,0.627721711896921,0.167927226789663,"CAM",2014-11-17,"Warmed","S","BCAM",22,35,2.58,"",2.32974,"wide",1.01064849046194,131.740143709574,17
"BCAM-23",0.00117020495144645,0.661099703501017,0.163796890810696,"CAM",2014-11-17,"Warmed","S","BCAM",23,35.3,2.58,"",2.3497092,"wide",1.01779606419027,132.496469002578,17
"BCAM-24",0.000100000000000035,0.65681716735732,0.153730614772124,"CAM",2014-11-17,"Warmed","S","BCAM",24,30,2.51,"",1.89003,"wide",0.850341656526469,114.495858930416,17
"BCAM-25",0.000100000000000005,0.588062288615541,0.186594705269408,"CAM",2014-11-17,"Warmed","S","BCAM",25,41,3.12,"",3.991104,"wide",1.57630320568251,189.027646908904,17
"BCAM-27",0.00108733384386603,0.647447764211145,0.159933913516837,"CAM",2014-11-17,"Warmed","S","BCAM",27,42.5,2.24,"",2.13248,"wide",0.93945116839252,124.150074821077,17
"BCAM-28",0.000100000000000006,0.67737454028407,0.152990305320427,"CAM",2014-11-17,"Warmed","S","BCAM",28,29.4,2.47,"",1.7936646,"wide",0.814380023075387,110.54669714368,17
"BCAM-3",0.165091205753788,0.797967401715491,0.104320431259225,"CAM",2014-11-17,"Home","S","BCAM",3,40.2,2.69,"",2.9089122,"wide",1.21399784157818,95.8239827143387,17
"BCAM-30",0.199186842787719,0.755570724600996,0.110681381631354,"CAM",2014-11-17,"Warmed","S","BCAM",30,43.8,2.75,"",3.312375,"wide",1.35143581037713,166.812000571888,17
"BCAM-31",0.0982908987504282,0.7019567930184,0.132887049752058,"CAM",2014-11-17,"Warmed","S","BCAM",31,38.7,2.89,"",3.2322627,"wide",1.3243895643049,164.095062049339,17
"BCAM-5",0.404188189185969,0.843224733455275,0.0846373343786335,"CAM",2014-11-17,"Home","S","BCAM",5,48.9,3.02,"",4.4598756,"wide",1.72768122485699,132.514470644544,17
"BCAM-6",0.135559256839428,0.859452202686544,0.0998086750446198,"CAM",2014-11-17,"Home","S","BCAM",6,30.2,2.39,"",1.7250542,"wide",0.788570980910219,64.4656082654932,17
"BCAM-8",0.169256664799204,0.835175994982684,0.0961272734935604,"CAM",2014-11-17,"Home","S","BCAM",8,35.3,2.63,"",2.4416657,"wide",1.05057512164259,83.9049106453588,17
"BCAM-9",0.0905097325143842,0.734576844925492,0.107372428146141,"CAM",2014-11-17,"Home","S","BCAM",9,37.8,2.32,"",2.0345472,"wide",0.903681685835321,73.0622002609858,17
"BOT-1",0.468183482699602,0.897735092908867,0.0754445505276659,"BOT",2014-11-17,"Home","S","BOT",1,32.6,2.46,"",1.9728216,"narrow",1.60967568697472,175.226591879984,17
"BOT-10",0.310192480373949,0.888057294939156,0.0792129840913992,"BOT",2014-11-17,"Home","S","BOT",10,24.5,2.32,"",1.318688,"narrow",1.15420652473202,123.310480551665,17
"BOT-11",0.22104691186046,0.900237253617203,0.0818311558835744,"BOT",2014-11-17,"Home","S","BOT",11,26.7,2.26,"",1.3637292,"narrow",1.18666309121143,126.9763977425,17
"BOT-2",0.277533465702627,0.827767289559929,0.0816478848942404,"BOT",2014-11-17,"Home","S","BOT",2,30.3,2.07,"",1.2983247,"narrow",1.13946963098682,121.647880183522,17
"BOT-20",0.18044966608109,0.753194254833149,0.11369828183885,"BOT",2014-11-17,"Warmed","S","BOT",20,33.6,2.45,"",2.01684,"narrow",1.63927458879262,218.658608639244,17
"BOT-23",0.189496201068634,0.7850937338728,0.108367238270818,"BOT",2014-11-17,"Warmed","S","BOT",23,31.1,2.23,"",1.5465719,"narrow",1.31657615111718,178.437662931237,17
"BOT-24",0.114376910199844,0.712530977418199,0.118263113584529,"BOT",2014-11-17,"Warmed","S","BOT",24,29.4,2.29,"",1.5417654,"narrow",1.31319666009925,178.012914331386,17
"BOT-26",0.226439969773185,0.781428600687485,0.100632896297921,"BOT",2014-11-17,"Warmed","S","BOT",26,29.5,2.45,"",1.7707375,"narrow",1.47226067155671,197.92212274777,17
"BOT-27",0.449841766844416,0.801595668938188,0.0886824362549124,"BOT",2014-11-17,"Warmed","S","BOT",27,28.6,2.98,"",2.5397944,"narrow",1.98302364883352,260.872649923677,17
"BOT-28",0.235236749677256,0.874034766233825,0.0956441713094807,"BOT",2014-11-17,"Warmed","S","BOT",28,28.6,2.24,"",1.4350336,"narrow",1.23766666019351,168.498817439379,17
"BOT-29",0.0226788827259624,0.555698077962545,0.150488813995312,"BOT",2014-11-17,"Warmed","S","BOT",29,35,2.08,"",1.51424,"narrow",1.29380773397649,175.574489149378,17
"BOT-3",0.533440787767287,0.766901722647474,0.0966344856789708,"BOT",2014-11-17,"Home","S","BOT",3,37.1,2.84,"",2.9923376,"narrow",2.27053676541723,252.007584730969,17
"BOT-30",0.422934404301104,0.80403314739146,0.0934232902294603,"BOT",2014-11-17,"Warmed","S","BOT",30,35.1,2.15,"",1.6224975,"narrow",1.36972156636746,185.10690999741,17
"BOT-31",0.185705368885455,0.733677142522039,0.118592285579524,"BOT",2014-11-17,"Warmed","S","BOT",31,32.6,2.63,"",2.2549094,"narrow",1.79747882647247,238.159553979317,17
"BOT-4",0.216948586794097,0.786271167795108,0.0995486086446038,"BOT",2014-11-17,"Home","S","BOT",4,33.7,2.3,"",1.78273,"narrow",1.48048903133493,160.405094509363,17
"BOT-6",0.395451720421213,0.889139845550831,0.0709435275269176,"BOT",2014-11-17,"Home","S","BOT",6,30.2,2.21,"",1.4749982,"narrow",1.26605904723965,135.967608137857,17
"BOT-7",0.202775100960641,0.82826231158326,0.0943406035822362,"BOT",2014-11-17,"Home","S","BOT",7,31.6,2.02,"",1.2894064,"narrow",1.13300281001085,120.918682204028,17
"BOT-8",0.291432237393697,0.823799383971938,0.0790163011517666,"BOT",2014-11-17,"Home","S","BOT",8,29.2,2.26,"",1.4914192,"narrow",1.277686138775,137.287040527267,17
"BRA-10",0.000100000000000007,0.643198388313606,0.190288826363989,"BRA",2014-11-17,"Home","N","BRA",10,34.3,2.31,"",1.8302823,"narrow",1.29475017940531,243.485520508558,17
"BRA-21",0.116677710510425,0.737114042947022,0.14139072745418,"BRA",2014-11-17,"Warmed","N","BRA",21,42.4,2.31,"",2.2625064,"narrow",1.54244874581607,120.886758158778,17
"BRA-23",0.00238541690206732,0.656722523847069,0.180841134701903,"BRA",2014-11-17,"Warmed","N","BRA",23,40,2.4,"",2.304,"narrow",1.56576941868473,122.769822922667,17
"BRA-24",0.0214217062638691,0.661192163703067,0.167080587939007,"BRA",2014-11-17,"Warmed","N","BRA",24,44.5,2.4,"",2.5632,"narrow",1.70985113301037,134.42217688132,17
"BRA-25",0.00010000000000001,0.638388398032028,0.183459285394955,"BRA",2014-11-17,"Warmed","N","BRA",25,37.5,2.23,"",1.8648375,"narrow",1.31490134484619,102.560047238696,17
"BRA-26",0.189665049130779,0.799970336650933,0.121226898834478,"BRA",2014-11-17,"Warmed","N","BRA",26,41.6,2.99,"",3.7190816,"narrow",2.32507700265948,184.484940476026,17
"BRA-27",0.175782896082108,0.748176859367731,0.134399344858173,"BRA",2014-11-17,"Warmed","N","BRA",27,49.5,2.21,"",2.4176295,"narrow",1.62926300777299,127.900950891911,17
"BRA-29",0.0342051771980032,0.696695714434392,0.179889436553283,"BRA",2014-11-17,"Warmed","N","BRA",29,43.4,2.83,"",3.4758626,"narrow",2.19878925592706,174.172015512429,17
"BRA-3",0.0145997089369884,0.681885793565692,0.194814517386824,"BRA",2014-11-17,"Home","N","BRA",3,42.8,2.56,"",2.8049408,"narrow",1.84194930686944,312.868683415328,17
"BRA-5",0.076167932536828,0.700107074584851,0.148936389606078,"BRA",2014-11-17,"Home","N","BRA",5,39.5,2.36,"",2.199992,"narrow",1.50717223399732,271.269074376629,17
"BRA-6",0.404671050385656,0.947086922706649,0.0941882383087529,"BRA",2014-11-17,"Home","N","BRA",6,40.1,2.31,"",2.1397761,"narrow",1.47302719688081,266.883472014103,17
"BRA-7",0.0375546111228664,0.767979420052154,0.14098968280919,"BRA",2014-11-17,"Home","N","BRA",7,36,1.89,"",1.285956,"narrow",0.967410774387457,197.899442984154,17
"BRA-8",0.000100000000000002,0.646087741382193,0.202640754699768,"BRA",2014-11-17,"Home","N","BRA",8,43.6,2.42,"",2.5533904,"narrow",1.70444606861294,296.071359781882,17
"BRA-9",0.0833956453392912,0.763425696155455,0.139835753410541,"BRA",2014-11-17,"Home","N","BRA",9,38.2,2.4,"",2.20032,"narrow",1.50735777449564,271.292826399478,17
"BTER-1",0.0627842234258769,0.875091473172221,0.0976314302426813,"TER",2014-11-17,"Home","S","BTER",1,18.2,1.95,"",0.692055,"wide",0.568203004235945,102.792505622231,17
"BTER-12",0.166034398485617,0.998999999999985,0.0746303752635913,"TER",2014-11-17,"Home","S","BTER",12,24,1.88,"",0.848256,"wide",0.672179404671089,117.989461508059,17
"BTER-2",0.0105932924856995,0.823508224556804,0.118403219164474,"TER",2014-11-17,"Home","S","BTER",2,17.2,1.6,"",0.44032,"wide",0.391161941808662,75.6692143165283,17
"BTER-21",0.0896323106106831,0.757228737491127,0.130983354426046,"TER",2014-11-17,"Warmed","S","BTER",21,30.5,2.34,"",1.670058,"wide",1.17601688963338,193.893108343875,17
"BTER-22",0.00119760679543206,0.718107148155491,0.153190281643072,"TER",2014-11-17,"Warmed","S","BTER",22,18.2,1.77,"",0.5701878,"wide",0.484219627145813,90.6501989488134,17
"BTER-24",0.0180465936653181,0.750100338802447,0.141117846476998,"TER",2014-11-17,"Warmed","S","BTER",24,21.6,1.98,"",0.8468064,"wide",0.671230768040972,119.919840721725,17
"BTER-25",0.000100000000000003,0.688094052111075,0.140988185821955,"TER",2014-11-17,"Warmed","S","BTER",25,16.7,1.67,"",0.4657463,"wide",0.409721057585628,78.5602715267266,17
"BTER-26",0.104095881204749,0.793130176090626,0.123790216468238,"TER",2014-11-17,"Warmed","S","BTER",26,25.7,2.07,"",1.1012193,"wide",0.833829211073557,144.413554386456,17
"BTER-27",1e-04,0.65898600353949,0.157526516062651,"TER",2014-11-17,"Warmed","S","BTER",27,23.3,1.84,"",0.7888448,"wide",0.633061725827886,114.052738670163,17
"BTER-28",1e-04,0.663016166479745,0.182653852910161,"TER",2014-11-17,"Warmed","S","BTER",28,23.6,2.07,"",1.0112364,"wide",0.777156193452197,135.961520581037,17
"BTER-29",0.000100000000000003,0.507158252462902,0.203383910599619,"TER",2014-11-17,"Warmed","S","BTER",29,33,2.79,"",2.568753,"wide",1.67808574849912,262.939504794185,17
"BTER-30",0.000100000000000002,0.620029160475278,0.193271246801606,"TER",2014-11-17,"Warmed","S","BTER",30,35.4,2.47,"",2.1597186,"wide",1.45417684835479,232.575675800938,17
"BTER-5",0.0461253701651476,0.701456043188152,0.126400742444304,"TER",2014-11-17,"Home","S","BTER",5,29.5,2.2,"",1.4278,"wide",1.03326598766839,167.901060089978,17
"BTER-6",0.0163082395581631,0.876584654010264,0.107692986342755,"TER",2014-11-17,"Home","S","BTER",6,14.7,1.24,"",0.2260272,"wide",0.225540198538013,48.1625984565684,17
"BTER-7",0.0208363973146283,0.864950087118288,0.108960406947252,"TER",2014-11-17,"Home","S","BTER",7,14.7,1.45,"",0.3090675,"wide",0.29203316329347,59.5356655824926,17
"BTER-8",0.279595777096257,0.916501778143857,0.0747610330287465,"TER",2014-11-17,"Home","S","BTER",8,27.8,2.16,"",1.2970368,"wide",0.954481425355802,157.322724350651,17
"BTER-9",0.0772802282199462,0.938602018382525,0.0891941549131305,"TER",2014-11-17,"Home","S","BTER",9,21.6,1.71,"",0.6316056,"wide",0.526898758951043,96.6202866936576,17
"CCAM-10",0.335338529273449,0.974368036599665,0.0719858568910817,"CAM",2014-11-17,"Home","S","CCAM",10,34.5,2.38,"",1.954218,"wide",0.840680941294896,64.5307558548013,17
"CCAM-11",0.229570799519735,0.888315159962691,0.0801983889321104,"CAM",2014-11-17,"Home","S","CCAM",11,40.2,2.23,"",1.9991058,"wide",0.856593968228645,65.7583657682756,17
"CCAM-12",0.0240790202628232,0.795703447455845,0.112095694847561,"CAM",2014-11-17,"Home","S","CCAM",12,29.9,2,"",1.196,"wide",0.560473145163161,42.9354291066662,17
"CCAM-20",0.212590394066731,0.811051328492565,0.115512156976655,"CAM",2014-11-17,"Warmed","S","CCAM",20,45.3,2.93,"",3.8889597,"wide",1.4838975796365,134.798060235195,17
"CCAM-21",0.18970447099433,0.750987232069629,0.116964415969229,"CAM",2014-11-17,"Warmed","S","CCAM",21,47,2.83,"",3.764183,"wide",1.44447357078452,131.642875352557,17
"CCAM-24",0.107699142806331,0.73807574933239,0.130725745060669,"CAM",2014-11-17,"Warmed","S","CCAM",24,44.9,2.73,"",3.3463521,"wide",1.31073969397124,120.860513138514,17
"CCAM-25",0.121494037748647,0.709438952227771,0.108514106421074,"CAM",2014-11-17,"Warmed","S","CCAM",25,37.5,2.45,"",2.2509375,"wide",0.944761159297985,90.6172306288279,17
"CCAM-26",0.229249488534234,0.791316630939434,0.0903580091026713,"CAM",2014-11-17,"Warmed","S","CCAM",26,39.5,2.54,"",2.548382,"wide",1.04671590490901,99.1650839410609,17
"CCAM-28",0.100973551511504,0.696872867827743,0.143044597926547,"CAM",2014-11-17,"Warmed","S","CCAM",28,51.6,3.15,"",5.12001,"wide",1.86219357766712,164.600137255765,17
"CCAM-29",0.000385100363016623,0.593439020591472,0.145345119721585,"CAM",2014-11-17,"Warmed","S","CCAM",29,34.7,2.38,"",1.9655468,"wide",0.844703032179962,82.1195584871083,17
"CCAM-3",0.261286699581983,0.837900164742953,0.0866316471293682,"CAM",2014-11-17,"Home","S","CCAM",3,37.3,3.3,"",4.06197,"wide",1.53819922192368,118.427171112805,17
"CCAM-30",0.086872590475832,0.732711800444624,0.123365540696177,"CAM",2014-11-17,"Warmed","S","CCAM",30,41,2.79,"",3.191481,"wide",1.2604447450937,116.771746403128,17
"CCAM-31",0.100527347742241,0.79007315909636,0.111783160828514,"CAM",2014-11-17,"Warmed","S","CCAM",31,37.3,2.53,"",2.3875357,"wide",0.991857007008722,94.5788527970664,17
"CCAM-4",0.331775215100957,0.868159447355818,0.08450720249338,"CAM",2014-11-17,"Home","S","CCAM",4,42,2.94,"",3.630312,"wide",1.40192185716548,107.88534759358,17
"CCAM-5",0.288806737683335,0.816666603779446,0.088981307902539,"CAM",2014-11-17,"Home","S","CCAM",5,47.6,3.05,"",4.42799,"wide",1.65177907316307,127.216780289457,17
"CCAM-7",0.200434529971729,0.838317420791729,0.087681531387323,"CAM",2014-11-17,"Home","S","CCAM",7,37.1,2.57,"",2.4504179,"wide",1.01337827635689,77.8592391169759,17
"CCAM-8",0.154741439292475,0.783516421702255,0.0921238535175308,"CAM",2014-11-17,"Home","S","CCAM",8,42.5,2.42,"",2.48897,"wide",1.02652495394247,78.874365838843,17
"CCAM-9",0.327432273418164,0.796117542131245,0.0796284111208599,"CAM",2014-11-17,"Home","S","CCAM",9,39.7,2.85,"",3.2246325,"wide",1.27124593875837,97.7816075651292,17
"CTER-1",0.0257385636789798,0.698363094212203,0.15333083542712,"TER",2014-11-17,"Home","N","CTER",1,34.9,2.31,"",1.8622989,"wide",1.33002194128051,264.123309947929,17
"CTER-10",0.236245375816139,0.810202311397101,0.119492149471053,"TER",2014-11-17,"Home","N","CTER",10,40.2,2.49,"",2.4924402,"wide",1.69189587987738,310.486917924541,17
"CTER-2",0.117455090446963,0.717072515062778,0.151014514306932,"TER",2014-11-17,"Home","N","CTER",2,41.9,2.65,"",2.9424275,"wide",1.9404024658229,340.440338504183,17
"CTER-20",0.150998726525093,0.693499124447808,0.142218259945936,"TER",2014-11-17,"Warmed","N","CTER",20,42.1,2.8,"",3.30064,"wide",2.13347999094395,122.181443670105,17
"CTER-22",0.160002084126444,0.756736617940527,0.137134025127409,"TER",2014-11-17,"Warmed","N","CTER",22,41.8,2.72,"",3.0925312,"wide",2.02178081813334,115.658232530022,17
"CTER-23",0.11294532116029,0.744601723954018,0.144292673754599,"TER",2014-11-17,"Warmed","N","CTER",23,42.2,2.46,"",2.5537752,"wide",1.726201283108,98.4328745134602,17
"CTER-25",0.0424861596625143,0.664325446299432,0.176526936482536,"TER",2014-11-17,"Warmed","N","CTER",25,44,2.56,"",2.883584,"wide",1.90830465187525,109.038740206309,17
"CTER-26",0.303519521129001,0.814769879318713,0.114088529292513,"TER",2014-11-17,"Warmed","N","CTER",26,43.2,2.61,"",2.9428272,"wide",1.94062010836433,110.923028770087,17
"CTER-27",0.153391292227879,0.696523838867061,0.162772161048541,"TER",2014-11-17,"Warmed","N","CTER",27,47.8,3.1,"",4.59358,"wide",2.80299388524627,161.415627971752,17
"CTER-28",0.0888398028200518,0.735729887682136,0.139518209109866,"TER",2014-11-17,"Warmed","N","CTER",28,36.2,2.3,"",1.91498,"wide",1.36101274015084,77.2351362376168,17
"CTER-3",0.240758738407619,0.781789127220365,0.125225191059647,"TER",2014-11-17,"Home","N","CTER",3,40.2,2.61,"",2.7384642,"wide",1.82865031928701,327.136404491224,17
"CTER-4",0.118122853827478,0.728941983736845,0.13000625172163,"TER",2014-11-17,"Home","N","CTER",4,39.1,2.18,"",1.8581884,"wide",1.3275974735714,263.799656932206,17
"CTER-6",0.00800985085032286,0.703483598770166,0.170818518609539,"TER",2014-11-17,"Home","N","CTER",6,33.3,2.21,"",1.6264053,"wide",1.1892958680482,245.000640582077,17
"CTER-8",0.258733333011941,0.78919093293103,0.127195848866761,"TER",2014-11-17,"Home","N","CTER",8,38.3,2.72,"",2.8335872,"wide",1.88094275321483,333.393987000154,17
"DCAM-1",0.000100000000000006,0.620509415989581,0.206635000972426,"CAM",2014-11-17,"Home","N","DCAM",1,43.4,2.72,"",3.2109056,"wide",1.92780528495881,243.382270020512,17
"DCAM-2",0.00735272535715172,0.678278303497268,0.183979702923831,"CAM",2014-11-17,"Home","N","DCAM",2,39.5,2.55,"",2.5684875,"wide",1.60328339907041,209.459512711299,17
"DCAM-20",0.148952622896676,0.781558938967721,0.128729973599789,"CAM",2014-11-17,"Warmed","N","DCAM",20,41.3,2.34,"",2.2614228,"wide",1.44328456276187,175.882024122331,17
"DCAM-21",0.000100000000000046,0.613859041809256,0.193072269582341,"CAM",2014-11-17,"Warmed","N","DCAM",21,42.2,2.41,"",2.4510182,"wide",1.54249159234047,185.930765274648,17
"DCAM-22",0.267716465467711,0.794729923226158,0.113563551909173,"CAM",2014-11-17,"Warmed","N","DCAM",22,45.7,2.71,"",3.3562537,"wide",1.99958254896498,230.971287594518,17
"DCAM-23",0.000100000000000007,0.614748019901352,0.203950635882722,"CAM",2014-11-17,"Warmed","N","DCAM",23,40.2,2.74,"",3.0180552,"wide",1.83168677751865,214.646853289599,17
"DCAM-27",0.0410807022714507,0.688391819355209,0.163752126434932,"CAM",2014-11-17,"Warmed","N","DCAM",27,44.3,2.41,"",2.5729883,"wide",1.60560284904529,192.267870587193,17
"DCAM-28",0.000100000000000004,0.591795391548523,0.212035077437263,"CAM",2014-11-17,"Warmed","N","DCAM",28,42.8,2.54,"",2.7612848,"wide",1.70202339396833,201.871477827078,17
"DCAM-29",0.000100000000000004,0.615182766948118,0.179552487131416,"CAM",2014-11-17,"Warmed","N","DCAM",29,34,2.23,"",1.690786,"wide",1.13519425850079,143.901178883418,17
"DCAM-3",0.0423561235453515,0.714878562761186,0.153580997438608,"CAM",2014-11-17,"Home","N","DCAM",3,39.7,2.22,"",1.9565748,"wide",1.28063920857423,174.435813252761,17
"DCAM-4",0.00189167905737288,0.616824049018562,0.197484719927106,"CAM",2014-11-17,"Home","N","DCAM",4,42.5,2.53,"",2.7203825,"wide",1.68117875854172,217.709841298517,17
"DCAM-5",0.0226625592409668,0.61234638080391,0.15403095255527,"CAM",2014-11-17,"Home","N","DCAM",5,40.5,2.27,"",2.0869245,"wide",1.35068857858982,182.166979096924,17
